iter	Logloss
0	0.6872459385
1	0.6816790556
2	0.6745157434
3	0.6662629672
4	0.6627213737
5	0.6568924428
6	0.650305589
7	0.645332492
8	0.6399341476
9	0.6334583597
10	0.6279330596
11	0.6220951681
12	0.6177564518
13	0.6133208046
14	0.6078197221
15	0.602449493
16	0.5974497034
17	0.5932613687
18	0.5888742674
19	0.5842431833
20	0.5795061156
21	0.5748004536
22	0.5704346033
23	0.5662484853
24	0.5619691812
25	0.5578316386
26	0.5530453582
27	0.5482642702
28	0.5445297722
29	0.5407986568
30	0.5372040669
31	0.533072125
32	0.52818538
33	0.5244541358
34	0.5198997628
35	0.5161910067
36	0.5124125384
37	0.5093019985
38	0.5051073643
39	0.5005981421
40	0.4960609953
41	0.4916502868
42	0.4879951402
43	0.484336641
44	0.4816624231
45	0.4785107075
46	0.4763646428
47	0.4748783884
48	0.4715927634
49	0.4689775093
50	0.4660187248
51	0.4629323052
52	0.4590921428
53	0.4560292846
54	0.4522369151
55	0.4498195992
56	0.4473128074
57	0.4440445568
58	0.4417461153
59	0.4385293276
60	0.4352491032
61	0.4328950427
62	0.4300100137
63	0.4270207991
64	0.4237721322
65	0.4216537469
66	0.4189882412
67	0.4163095449
68	0.4141090428
69	0.4124596678
70	0.4100942891
71	0.4082087658
72	0.4062108359
73	0.4040872869
74	0.4019930631
75	0.4001809843
76	0.3982114884
77	0.3961474848
78	0.3939586163
79	0.3918131749
80	0.3896065243
81	0.3871250655
82	0.3851251947
83	0.3828884433
84	0.3807745603
85	0.37878315
86	0.3764992692
87	0.3741837015
88	0.372286537
89	0.3705312772
90	0.3686663702
91	0.3668614338
92	0.3651207871
93	0.3625499905
94	0.3603095083
95	0.3588744971
96	0.3570573672
97	0.3554906033
98	0.3534852603
99	0.3518387491
100	0.3503634102
101	0.3484541893
102	0.3463893762
103	0.3451708144
104	0.3435179521
105	0.341809178
106	0.3403822292
107	0.3392614336
108	0.3378134549
109	0.3361802066
110	0.334737738
111	0.3334362931
112	0.3318497783
113	0.3304286674
114	0.3285844677
115	0.3270269923
116	0.3256028401
117	0.3241043394
118	0.322275901
119	0.321227505
120	0.3197955287
121	0.3184696075
122	0.3173487684
123	0.3158938529
124	0.3149314402
125	0.3137970468
126	0.3127930927
127	0.3116116506
128	0.3108773815
129	0.3098367966
130	0.3089761025
131	0.3079649661
132	0.3063406256
133	0.3051984609
134	0.3043280781
135	0.3031048136
136	0.3017280342
137	0.3009461503
138	0.3001744281
139	0.2992303831
140	0.2988448308
141	0.2975067927
142	0.2965327638
143	0.2952559166
144	0.2941968594
145	0.2930241497
146	0.2919287505
147	0.2906616276
148	0.2896038979
149	0.2878781508
150	0.286832677
151	0.28565822
152	0.2844054168
153	0.2832815078
154	0.2819402089
155	0.2808594257
156	0.2799736474
157	0.2788399984
158	0.2780833044
159	0.2771937129
160	0.2762371114
161	0.2754401644
162	0.2745910187
163	0.2736938858
164	0.2727096518
165	0.2720016306
166	0.2708437521
167	0.2701534077
168	0.2691088808
169	0.2680284204
170	0.2672815221
171	0.2663997753
172	0.2657328633
173	0.2647936937
174	0.2637663527
175	0.262735517
176	0.2619493672
177	0.2613888079
178	0.2605295935
179	0.2596561012
180	0.2589951255
181	0.2583927202
182	0.2577064199
183	0.2569677142
184	0.2563771536
185	0.2555989691
186	0.2546773907
187	0.2540615131
188	0.2530089906
189	0.2523392922
190	0.251423293
191	0.2506848224
192	0.2498904001
193	0.2492717627
194	0.2486199985
195	0.247800283
196	0.2470578904
197	0.2465320053
198	0.2460802437
199	0.2452403064
200	0.2445736248
201	0.2437681041
202	0.2432374852
203	0.2425053131
204	0.2418659404
205	0.2413392846
206	0.2408806151
207	0.2403686646
208	0.2397237145
209	0.2389506466
210	0.2385910848
211	0.2379917682
212	0.2374601434
213	0.2365414983
214	0.2359083843
215	0.2353643689
216	0.2348814699
217	0.2343992271
218	0.2336848222
219	0.2331115251
220	0.2324765032
221	0.2317718054
222	0.2312557619
223	0.2305915267
224	0.2300102445
225	0.2293372312
226	0.2288286823
227	0.2281273584
228	0.2275859044
229	0.2268200278
230	0.2263372978
231	0.2260014118
232	0.2254870297
233	0.2248180536
234	0.2245481831
235	0.2243221547
236	0.2238052333
237	0.2232178594
238	0.2224867196
239	0.2220205104
240	0.22157803
241	0.221065594
242	0.2205072223
243	0.219873222
244	0.2194022735
245	0.2189597421
246	0.2182710002
247	0.2176613639
248	0.2171714824
249	0.2166995033
250	0.2163349067
251	0.2157075108
252	0.2150991639
253	0.2146776148
254	0.2141266556
255	0.2137477967
256	0.2132614999
257	0.2127978765
258	0.2123045335
259	0.2119973488
260	0.2117286841
261	0.2110991939
262	0.2105304605
263	0.2100764006
264	0.2098681547
265	0.2094246589
266	0.2091024655
267	0.2086290828
268	0.208103502
